Country Name,Country Code,2012 [YR2012] - CO2 emissions (kt) [EN.ATM.CO2E.KT],"2012 [YR2012] - Death rate, crude (per 1,000 people) [SP.DYN.CDRT.IN]","2012 [YR2012] - GDP per capita, PPP (constant 2011 international $) [NY.GDP.PCAP.PP.KD]",2012 [YR2012] - New businesses registered (number) [IC.BUS.NREG],2012 [YR2012] - Researchers in R&D (per million people) [SP.POP.SCIE.RD.P6],"2012 [YR2012] - Unemployment, total (% of total labor force) (national estimate) [SL.UEM.TOTL.NE.ZS]",2012 [YR2012] - Refugee population by country or territory of asylum [SM.POP.REFG],2012 [YR2012] - Mobile cellular subscriptions (per 100 people) [IT.CEL.SETS.P2],2012 [YR2012] - Individuals using the Internet (% of population) [IT.NET.USER.ZS],"2012 [YR2012] - Population, total [SP.POP.TOTL]",2012 [YR2012] - Scientific and technical journal articles [IP.JRN.ARTC.SC],"2012 [YR2012] - Armed forces personnel, total [MS.MIL.TOTL.P1]",2012 [YR2012] - Rail lines (total route-km) [IS.RRS.TOTL.KM],"2012 [YR2012] - Fertility rate, total (births per woman) [SP.DYN.TFRT.IN]","2012 [YR2012] - Intentional homicides (per 100,000 people) [VC.IHR.PSRC.P5]",2012 [YR2012] - Poverty headcount ratio at $1.90 a day (2011 PPP) (% of population) [SI.POV.DDAY],2012 [YR2012] - Adolescents out of school (% of lower secondary school age) [SE.SEC.UNER.LO.ZS],"2012 [YR2012] - Air transport, passengers carried [IS.AIR.PSGR]"
Argentina,ARG,192356.152,7.603,19224.8743997107,12385,1199.40405,7.34000015258789,3488,156.564756,55.8,42096739,8073.1,104350,25023,2.347,..,1.6,1.04976999759674,9375669.73963746
Australia,AUS,388126.281,6.6,42561.1206714813,185009,..,5.21999979019165,30083,105.585695,79,22728254,44488.9,56200,..,1.921,1.1,..,0.920350015163422,66355274
Brazil,BRA,470028.726,5.927,15118.138451117,53876,..,5.51000022888184,4689,125.0018521,48.56,200560983,47302.1,713480,29817,1.777,26.2,4.6,4.53371000289917,94752568
Chile,CHL,80974.694,5.905,21330.2399109073,68439,390.95003,6.05000019073486,1695,137.0811793,55.05,17309746,5115.8,106100,5529,1.834,2.5,..,2.72011995315552,12892856
China,CHN,10028573.939,7.15,11145.752346104,..,1035.87909,4.09999990463257,301037,80.76271455,42.30011749,1350695000,372038.4,2993000,66298,1.599,0.8,6.5,..,318475924
Colombia,COL,79951.601,5.762,11840.2404334565,62993,146.00372,10.3699998855591,219,102.8549384,48.98,46881475,4068.5,440224,..,1.948,31.3,7.1,0.482529997825623,22012458.8443775
Costa Rica,CRI,7766.706,4.709,13878.0474026459,11800,339.69698,7.76999998092651,20449,111.9199133,47.5,4654122,295.9,9800,..,1.866,8.7,1.7,8.17236995697021,1770111.37834698
Indonesia,IDN,637078.911,7.079,9251.17553694602,47549,..,6.1399998664856,1819,114.218131,14.52,248883232,1992.1,676500,4684,2.455,0.6,11.8,14.8142595291138,79405799.80957
Israel,ISR,75529.199,5.3,30684.1444485814,14504,8255.40441,6.84999990463257,48505,120.6843884,70.8,7910500,11517.6,184500,1079,3.05,1.7,0.7,0.0321400016546249,5381980
"Korea, Rep.",KOR,583966.083,5.3,31776.8970259682,73972,6361.60143,3.22000002861023,487,109.4316142,84.07,50199853,56897,659500,3650,1.297,0.8,0.3,0.607029974460602,39969577.0157166
Pakistan,PAK,163496.862,7.576,4367.45199617273,4162,..,..,1638456,67.06360938,9.96,177911533,6980.6,947800,7791,3.744,7.8,..,51.9928283691406,7973906.36067277
Philippines,PHL,91205.624,6.336,5988.80390252146,16143,..,6.98999977111816,141,105.4510985,36.2351,96866642,842.4,165500,..,3.067,8.8,12.1,..,28540727.3608103
Russian Federation,RUS,1830830.424,13.3,24879.3790845948,442165,3093.56286,5.46000003814697,3178,145.3276296,63.8,143201676,33260.4,1364000,84249,1.691,13.9,0,..,58727125
Singapore,SGP,36372.973,4.5,76028.9373747065,31532,6442.27614,2.82999992370605,3,152.1251818,72,5312437,10602.3,147600,..,1.29,0.2,..,..,29138458.2737476
South Africa,ZAF,468770.945,11.684,12329.630326997,217624,404.6859,25.1399993896484,65233,130.557982,41,52506515.0772335,8955.4,62100,20500,2.554,30.7,..,..,17571565.2032155
United Kingdom,GBR,468572.927,8.9,36678.7543552468,537658,4029.27837,7.8899998664856,149799,124.7618169,87.47999842,63700300,96764.7,169150,16423,1.92,1,0.2,5.39738988876343,115419920.565667
United States,USA,5119436.361,8.1,50519.5266059597,..,4015.88708,8.06999969482422,262023,96.01037609,74.7,313998379,414758.5,1492200,228218,1.8805,4.7,..,0.863709986209869,736699000
Armenia,ARM,5694.851,9.747,7511.13248214738,3190,..,17.3099994659424,2854,111.9146632,37.5,2881922,558.7,49100,826,1.664,2.2,1.7,..,364733
Canada,CAN,517457.704,7.1,41794.5389176845,25723,4634.31514,7.28999996185303,163756,79.56833775,83,34750545,58420.3,66000,52002,1.6142,1.6,..,..,70467400.7928687
France,FRA,333227.624,8.7,37344.5371009423,121538,4073.40585,9.39999961853027,217865,97.37775287,81.44,65659790,72424.4,325600,30013,2.01,1.2,0,0.0468299984931946,64683769.0243213
Germany,DEU,739861.254,10.8,42822.0994035797,69332,4379.07515,5.38000011444092,589737,111.5940398,82.34999847,80425823,101777.8,186450,33509,1.41,0.8,..,..,105978474.526384
Greece,GRC,80043.276,10.6,24364.2690631745,..,2232.28916,24.4400005340576,2100,120.0963016,55.06999344,11045011,11674,147350,2554,1.34,1.5,1.5,..,8785275.45592775
Saudi Arabia,SAU,564842.678,3.543,49658.6526995727,..,..,5.51999998092651,577,187.3595577,54,29086357,6227.1,249000,1412,2.779,..,..,..,26537661
Spain,ESP,264779.402,8.6,31107.4807887451,84399,2718.38425,24.7900009155273,4510,108.3640175,69.80999994,46773055,53644.8,215600,15665,1.32,0.8,0.9,0.0199400000274181,48089178.327112
Denmark,DNK,36427.978,9.4,44336.8124612297,15806,7155.95436,7.53000020980835,11814,130.2798977,92.26001172,5591572,12237.1,17200,2131,1.73,0.8,0,2.34867000579834,..
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
Data from database: World Development Indicators,,,,,,,,,,,,,,,,,,,
Last Updated: 10/30/2017,,,,,,,,,,,,,,,,,,,
